order_delivered_customer_date,order_approved_at,order_estimated_delivery_date,order_status
"2017-10-10 23:25:13","2017-10-02 13:07:15","2017-10-18 02:00:00",delivered
"2018-08-07 17:27:45","2018-07-26 05:24:27","2018-08-13 02:00:00",delivered
"2018-08-17 20:06:29","2018-08-08 10:55:23","2018-09-04 02:00:00",delivered
"2017-12-02 01:28:42","2017-11-18 20:45:59","2017-12-15 01:00:00",delivered
"2018-02-16 19:17:02","2018-02-13 23:20:29","2018-02-26 01:00:00",delivered
"2017-07-26 12:57:55","2017-07-10 00:10:13","2017-08-01 02:00:00",delivered
"2017-05-26 14:55:51","2017-05-16 15:22:11","2017-06-07 02:00:00",delivered
"2017-02-02 15:08:10","2017-01-25 03:50:47","2017-03-06 01:00:00",delivered
"2017-08-16 19:14:30","2017-07-29 14:05:32","2017-08-23 02:00:00",delivered
"2017-05-29 13:18:31","2017-05-16 21:50:18","2017-06-07 02:00:00",delivered
"2017-07-19 16:04:48","2017-07-13 22:10:08","2017-08-08 02:00:00",delivered
"2018-06-19 14:05:52","2018-06-09 05:13:12","2018-07-18 02:00:00",delivered
"2018-07-30 17:52:25","2018-07-25 19:55:14","2018-08-08 02:00:00",delivered
"2018-03-13 00:36:26","2018-03-01 16:10:47","2018-03-21 01:00:00",delivered
"2018-06-21 17:34:32","2018-06-13 01:31:02","2018-07-04 02:00:00",delivered
"2018-01-20 02:38:59","2018-01-02 20:09:04","2018-02-06 01:00:00",delivered
"2018-01-08 23:36:36","2017-12-27 00:50:22","2018-01-29 01:00:00",delivered
"2017-11-27 19:28:00","2017-11-21 01:14:22","2017-12-11 01:00:00",delivered
"2017-11-08 23:22:00","2017-10-26 18:08:14","2017-11-23 01:00:00",delivered
"2017-10-10 00:23:46","2017-09-19 06:04:09","2017-09-28 02:00:00",delivered
"2018-03-19 19:08:32","2018-03-15 10:09:31","2018-03-29 02:00:00",delivered
"2018-02-08 17:13:46","2018-02-03 21:50:22","2018-02-21 01:00:00",delivered
"2018-01-26 18:32:38","2018-01-08 09:07:31","2018-02-21 01:00:00",delivered
"2018-08-13 20:24:27","2018-08-10 05:24:51","2018-08-17 02:00:00",delivered
"2018-03-21 23:03:54","2018-02-22 03:30:46","2018-03-12 01:00:00",delivered
"2018-06-16 17:20:55","2018-06-05 02:35:10","2018-07-18 02:00:00",delivered
"2018-03-21 15:41:50","2018-03-12 04:28:34","2018-03-28 02:00:00",delivered
"2018-05-16 22:56:24","2018-05-03 14:55:01","2018-05-23 02:00:00",delivered
"2018-03-28 01:29:14","2018-02-25 15:47:35","2018-04-13 02:00:00",delivered
"2017-08-18 16:28:02","2017-08-12 04:45:24","2017-08-23 02:00:00",delivered
"2018-05-05 14:28:34","2018-04-17 00:10:26","2018-05-15 02:00:00",delivered
"2018-01-03 19:03:36","2017-12-14 14:54:13","2018-01-08 01:00:00",delivered
"2018-02-22 01:07:55","2018-02-03 13:50:30","2018-03-07 01:00:00",delivered
"2018-08-01 00:48:50","2018-07-30 01:45:15","2018-08-06 02:00:00",delivered
"2018-03-20 01:59:25","2018-02-17 17:15:34","2018-03-20 01:00:00",delivered
"2018-03-14 00:58:43","2018-02-23 03:10:52","2018-03-29 02:00:00",delivered
"2017-08-08 23:24:41","2017-08-02 04:56:02","2017-08-22 02:00:00",delivered
"2018-06-18 23:32:52","2018-06-05 05:35:15","2018-07-17 02:00:00",delivered
"2018-04-06 00:11:18","2018-03-26 19:28:27","2018-04-12 02:00:00",delivered
"2017-05-31 15:58:46","2017-05-19 21:05:17","2017-06-12 02:00:00",delivered
"2017-12-28 19:59:23","2017-11-25 01:21:09","2017-12-21 01:00:00",delivered
"2017-08-12 16:08:40","2017-08-04 19:25:11","2017-09-01 02:00:00",delivered
"2018-08-14 01:34:42","2018-08-05 01:35:13","2018-09-13 02:00:00",delivered
"2017-05-29 14:47:20","2017-05-18 16:05:17","2017-06-09 02:00:00",delivered
"2017-05-25 11:14:31","2017-05-14 22:42:45","2017-06-12 02:00:00",delivered
"2018-05-21 17:22:11","2018-05-18 03:17:39","2018-05-25 02:00:00",delivered
"2018-08-03 00:09:11","2018-07-29 13:44:19","2018-08-13 02:00:00",delivered
"2017-08-16 19:16:44","2017-08-11 06:15:29","2017-08-31 02:00:00",delivered
"2018-02-14 14:41:59","2018-02-03 03:53:07","2018-02-23 01:00:00",delivered
"2018-07-03 20:37:46","2018-06-27 10:35:32","2018-07-20 02:00:00",delivered
"2018-08-01 00:26:55","2018-07-26 16:55:10","2018-08-16 02:00:00",delivered
"2018-01-03 16:09:32","2017-12-15 01:14:55","2018-01-16 01:00:00",delivered
"2017-09-04 22:59:55","2017-08-31 10:30:17","2017-09-20 02:00:00",delivered
"2018-06-19 02:31:13","2018-06-11 12:58:32","2018-07-16 02:00:00",delivered
"2018-06-14 23:32:21","2018-06-11 10:31:50","2018-07-05 02:00:00",delivered
"2018-04-03 15:28:46","2018-03-09 16:40:39","2018-04-02 02:00:00",delivered
"2017-04-06 15:37:16","2017-03-13 19:14:36","2017-03-30 02:00:00",delivered
"2017-06-19 20:51:28","2017-06-15 05:05:45","2017-07-06 02:00:00",delivered
"2017-12-05 21:28:40","2017-12-02 03:51:18","2017-12-18 01:00:00",delivered
"2018-08-10 20:35:40","2018-08-05 15:24:34","2018-08-15 02:00:00",delivered
"2017-11-22 23:41:07","2017-11-15 12:46:42","2017-12-05 01:00:00",delivered
"2018-03-09 23:22:25","2018-02-21 07:15:25","2018-03-13 01:00:00",delivered
"2018-04-24 21:31:58","2018-04-24 20:25:22","2018-05-15 02:00:00",delivered
"2018-01-17 21:26:31","2018-01-07 22:51:28","2018-02-14 01:00:00",delivered
"2018-02-20 23:13:08","2018-02-10 14:35:31","2018-03-12 01:00:00",delivered
"2018-06-22 23:18:51","2018-06-18 19:00:57","2018-07-13 02:00:00",delivered
"2018-06-19 00:32:44","2018-06-15 04:37:29","2018-06-26 02:00:00",delivered
"2018-07-24 18:41:18","2018-07-16 16:31:10","2018-08-02 02:00:00",delivered
"2017-09-16 17:40:08","2017-09-13 16:44:39","2017-09-25 02:00:00",delivered
"2018-04-19 22:41:45","2018-04-13 15:30:02","2018-05-08 02:00:00",delivered
"2018-02-24 20:15:56","2018-02-15 11:47:59","2018-03-07 01:00:00",delivered
"2017-03-09 15:27:58","2017-02-22 04:10:20","2017-03-21 01:00:00",delivered
"2017-05-10 11:17:55","2017-04-21 07:15:56","2017-05-12 02:00:00",delivered
"2017-09-25 22:14:48","2017-09-15 11:35:18","2017-10-11 02:00:00",delivered
"2018-08-06 20:44:46","2018-07-31 05:50:24","2018-08-08 02:00:00",delivered
"2017-08-16 20:17:54","2017-08-09 20:45:18","2017-08-31 02:00:00",delivered
"2018-08-29 14:40:53","2018-08-28 06:10:18","2018-08-30 02:00:00",delivered
"2017-08-01 16:27:31","2017-07-30 05:25:08","2017-08-16 02:00:00",delivered
"2018-01-09 20:52:32","2017-12-23 03:15:31","2018-01-19 01:00:00",delivered
"2017-04-11 14:31:36","2017-04-07 00:50:24","2017-04-27 02:00:00",delivered
"2017-05-18 15:22:35","2017-05-09 23:02:45","2017-06-01 02:00:00",delivered
"2017-05-11 15:07:46","2017-04-20 22:55:09","2017-05-25 02:00:00",delivered
"2017-11-08 22:25:24","2017-10-17 05:49:34","2017-11-21 01:00:00",delivered
"2017-12-19 19:43:35","2017-12-09 03:49:54","2018-01-03 01:00:00",delivered
"2017-09-08 22:39:56","2017-08-27 19:04:12","2017-09-21 02:00:00",delivered
"2018-03-16 15:59:01","2018-03-01 03:48:54","2018-03-29 02:00:00",delivered
"2018-05-21 18:09:55","2018-05-11 15:36:50","2018-06-05 02:00:00",delivered
"2018-02-15 21:08:15","2018-01-22 20:36:35","2018-02-19 01:00:00",delivered
"2018-05-04 16:02:26","2018-05-01 10:52:58","2018-05-16 02:00:00",delivered
"2017-10-10 20:43:53","2017-09-20 09:55:14","2017-10-13 02:00:00",delivered
"2018-04-28 01:14:42","2018-04-12 00:49:32","2018-05-21 02:00:00",delivered
"2018-01-09 19:14:02","2017-12-22 03:37:45","2018-01-22 01:00:00",delivered
"2018-04-30 19:57:25","2018-04-24 21:24:14","2018-05-07 02:00:00",delivered
"2018-08-17 02:49:41","2018-08-03 11:31:36","2018-08-27 02:00:00",delivered
"2018-05-18 16:48:38","2018-05-14 10:52:24","2018-06-08 02:00:00",delivered
"2017-12-28 20:43:00","2017-11-22 12:46:50","2017-12-11 01:00:00",delivered
"2017-04-10 04:59:52","2017-03-30 10:05:08","2017-04-26 02:00:00",delivered
"2018-06-18 14:36:54","2018-06-05 11:32:22","2018-07-23 02:00:00",delivered
"2018-08-28 23:06:31","2018-08-26 13:15:29","2018-08-30 02:00:00",delivered
"2017-05-23 15:32:30","2017-05-17 10:45:09","2017-06-06 02:00:00",delivered
"2018-08-03 21:28:47","2018-08-01 04:50:15","2018-08-02 02:00:00",delivered
"2018-03-09 15:48:21","2018-03-02 23:08:51","2018-03-26 02:00:00",delivered
"2018-02-16 21:24:42","2018-02-06 22:29:40","2018-03-07 01:00:00",delivered
"2017-02-10 18:30:19","2017-01-29 02:31:48","2017-03-10 01:00:00",delivered
"2018-02-09 21:16:40","2018-01-27 23:16:18","2018-02-26 01:00:00",delivered
"2017-07-12 22:17:57","2017-07-04 06:10:19","2017-07-25 02:00:00",delivered
"2017-09-30 19:13:01","2017-09-27 14:26:02","2017-10-16 02:00:00",delivered
"2018-01-23 22:38:52","2017-12-01 10:31:15","2017-12-22 01:00:00",delivered
"2018-02-02 17:12:53","2018-02-01 13:54:33","2018-02-19 01:00:00",delivered
"2018-08-28 16:52:43","2018-08-22 18:25:19","2018-09-05 02:00:00",delivered
"2018-07-13 19:18:42","2018-07-07 12:10:09","2018-08-10 02:00:00",delivered
"2018-05-22 02:08:26","2018-05-09 20:54:13","2018-05-29 02:00:00",delivered
