count,score,jahr,Q
88,1,2016,4
8,2,2016,4
22,3,2016,4
51,4,2016,4
156,5,2016,4
426,1,2017,1
119,2,2017,1
360,3,2017,1
792,4,2017,1
2436,5,2017,1
974,1,2017,2
304,2,2017,2
832,3,2017,2
1845,4,2017,2
5250,5,2017,2
1093,1,2017,3
373,2,2017,3
954,3,2017,3
2385,4,2017,3
7400,5,2017,3
2104,1,2017,4
554,2,2017,4
1443,3,2017,4
3418,4,2017,4
9673,5,2017,4
3014,1,2018,1
725,2,2018,1
1843,3,2018,1
3813,4,2018,1
10688,5,2018,1
2430,1,2018,2
688,2,2018,2
1686,3,2018,2
4124,4,2018,2
12532,5,2018,2
1295,1,2018,3
380,2,2018,3
1039,3,2018,3
2714,4,2018,3
9193,5,2018,3
